team_id,team_name,solve_count,tile_operations,max_simultaneous_annotations,total_annotations
801,"⛎ UNICODE EQUIVALENCE",78,4949,1286,2714
529,"✈﻿✈﻿✈ Galactic Trendsetters ✈﻿✈﻿✈",82,7709,3188,6477
795,"✈️🎟️💸",41,3812,1432,2449
501,"17th Shard",79,7173,1939,4713
12,"Amateur Hour",61,5247,1820,5613
793,"Ange Management",28,3736,1151,3430
827,"Central Services",1,276,1,1
135,"Codex Quauhquechollan",59,6181,2455,4731
956,"Copy of Copy of Sheet1",77,9516,2638,7646
100,"Death and Mayhem",84,9163,1790,5470
939,"Donner Party of N ",57,5316,799,3422
43,"ET Phone In Answer",79,6661,1637,3989
727,"Exotic Creatures of r/PictureGame",73,7028,2417,4518
8,"Frumious Bandersnatch",75,5583,1448,3320
596,"Hunches in Bunches",66,4701,1489,3271
19,"I'm not a planet either",1,664,81,105
945,"Immoral, Illegal & Fattening",59,3936,480,1281
946,"Ladder Dogs",18,2500,253,510
807,"Left Out",81,7156,2278,4532
298,"Level 1 Spicy",65,5656,1239,2039
28,"Libra Complexity",39,5055,624,1866
935,"Literally Animal Farm",80,6992,1436,3696
937,"Metaphysical Plant",41,4287,1883,3089
936,"Monsters & Inhabitants of the Tide",23,5331,875,3661
37,"NES",77,8156,1740,5147
10,"Palindrome",82,8121,1735,5419
18,"Quarantine Duckrypters: Souped Up",69,6232,2210,5558
26,"Ragers of the Lost Ark",71,5469,1075,3355
265,"Setec Astronomy",74,7763,1478,3887
925,"Shower Pomelo",2,298,27,60
663,"Small Llama Malls",78,5760,1572,4139
9,"Society of Spirits",75,4867,704,2357
500,"Spore Giant",57,6292,980,4330
595,"Super Team Awesome",81,6991,1646,6030
14,"teammate",78,7691,1906,4096
38,"Test Solution Bees Ignore",82,6473,988,3997
498,"The Mathemagicians",83,6549,2058,4632
811,"The Providence Bureau of Invest-Egg-Ations",83,8489,3027,8653
942,"The Team That Is Now Named Later (TTINNL)",84,11525,2178,8740
23,"Turtles All the Way Down",43,4283,1259,2054
929,"Up Late",52,6202,740,2663
22,"V.AL.V.E.",82,11212,2501,7576
364,"Wafflehaüs",59,9304,1401,5977
927,"wahoo!",46,4749,1198,2497
33,"喵喵喵",82,9242,1547,6969
