id,timestamp,team_id,level,type,death_reason,data
103,2026-01-16 18:15:31.20808+00,37,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_01"",""mini_game_id"":""fish-identification""}"
104,2026-01-16 18:15:43.538138+00,37,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_04"",""mini_game_id"":""wheel-of-fish""}"
105,2026-01-16 18:16:23.271215+00,37,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_01"",""mini_game_id"":""fish-identification""}"
106,2026-01-16 18:17:01.503712+00,37,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
107,2026-01-16 18:17:01.84609+00,37,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
108,2026-01-16 18:17:11.080872+00,37,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
109,2026-01-16 18:17:13.867238+00,37,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
110,2026-01-16 18:17:14.224812+00,37,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
111,2026-01-16 18:17:24.867485+00,37,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_01"",""mini_game_id"":""fish-identification""}"
112,2026-01-16 18:17:33.08922+00,811,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_04"",""mini_game_id"":""wheel-of-fish""}"
113,2026-01-16 18:17:37.479515+00,37,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
114,2026-01-16 18:17:40.435819+00,37,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
115,2026-01-16 18:17:48.594096+00,37,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
116,2026-01-16 18:17:54.460054+00,811,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_04"",""mini_game_id"":""wheel-of-fish""}"
