puzzle_slug,title,is_task,round_slug,is_meta,is_supermeta,is_runaround
a_wanderers_colorlog,A Wanderer's Colorlog,false,aviaria,false,false,false
bird_calls,Bird Calls,false,aviaria,false,false,false
crochet_egg,Crochet Egg,true,aviaria,false,false,false
dorm_maseeh,Maseeh Hall: Aerial View,true,aviaria,false,false,false
exsportise,Exsportise,false,aviaria,false,false,false
feather_forecast,Feather Forecast,true,aviaria,false,false,false
field_day,Field Day,true,aviaria,false,false,false
fowl_bounce,Fowl Bounce,true,aviaria,false,false,false
gen_nu_brain_rot,Gen Nu Brain ROT,false,aviaria,false,false,false
heroic_songs,Heroic Songs,true,aviaria,false,false,false
lost_papers,Lost Papers,true,aviaria,false,false,false
monarch_aviaria_task,Journal with the Aviaria Puzzmon,true,aviaria,false,false,false
mountain_cave,Mountain Cave,true,aviaria,false,false,false
novelty_store,Novelty Store,false,aviaria,false,false,false
novelty_store_dance,Novelty Store: Dance,true,aviaria,false,false,false
novelty_store_drink,Novelty Store: 🍹,true,aviaria,false,false,false
novelty_store_eat,Novelty Store: 🍽️,true,aviaria,false,false,false
novelty_store_exercise,Novelty Store: 🏋,true,aviaria,false,false,false
novelty_store_poop,Novelty Store: 💩,true,aviaria,false,false,false
novelty_store_sleep,Novelty Store: 😴,true,aviaria,false,false,false
novelty_store_walk,Novelty Store: 👣,true,aviaria,false,false,false
puzzmon_comic,Puzzmon Comic,true,aviaria,false,false,false
puzzmon_mascot,Puzzmon Mascot,true,aviaria,false,false,false
puzzmon_yoga,Puzzmon Yoga,true,aviaria,false,false,false
replacements,Replacements,false,aviaria,false,false,false
shopping_spree,Shopping Spree,false,aviaria,false,false,false
snapshots,Snapshots,true,aviaria,false,false,false
welcome_to_mit,Welcome to MIT!,false,aviaria,false,false,false
bird_nation,Bird Nation,false,aviaria,true,false,false
bad_lip_reading,Bad Lip Reading,true,bubble_cove,false,false,false
baker_house,Baker House: ,true,bubble_cove,false,false,false
burnhams_marbles,Find Burnham's Marbles,true,bubble_cove,false,false,false
collect_em_all,Puzzmon Go: Collect Em All,true,bubble_cove,false,false,false
create_smoot,Create Your Own Smoot,true,bubble_cove,false,false,false
crossloop,Crossloop,false,bubble_cove,false,false,false
cryptids_exposed,Cryptids Exposed,true,bubble_cove,false,false,false
do_they_have_chemistry,Do They Have Chemistry?,false,bubble_cove,false,false,false
drop_star_from_teams,DROP * FROM Teams,false,bubble_cove,false,false,false
fishy_questions,Fishy Questions,true,bubble_cove,false,false,false
mechanical_soft_diet,Mechanical Soft Diet,false,bubble_cove,false,false,false
monarch_bubble_cove_task,Type with the Bubble Cove Puzzmon,true,bubble_cove,false,false,false
route_to_hq,Puzzmon Go: Route to HQ,true,bubble_cove,false,false,false
simmons_hall,Simmons Hall: The Sponge,true,bubble_cove,false,false,false
somebody,Somebody,false,bubble_cove,false,false,false
this_puzzle_has_been_here_the_whole_time,This Puzzle Has Been Here The Whole Time,false,bubble_cove,false,false,false
urban_angst,Urban Angst,false,bubble_cove,false,false,false
walking_on_water,Walking on Water,true,bubble_cove,false,false,false
bringing_up_baby_shark,Bringing Up Baby Shark,false,bubble_cove,true,false,false
balancing_act,Balancing Act,false,old_bark_town,false,false,false
