team_id,region,explorations
10,Crossword,689
10,Trivia,396
10,Mystery,416
10,Aromatic Stock,260
10,slitherlink-level-1,259
10,Worthwhile Suit,759
10,slitherlink-level-5,123
10,The Tortured Programmers Department,175
10,slitherlink-level-4,39
10,slitherlink-level-6,115
10,slitherlink-level-9,7
10,slitherlink-level-8,53
10,slitherlink-level-3,8
10,slitherlink-level-10,87
10,slitherlink-level-11,6
10,devilry-cryptic-level,99
10,bumblebee-level-0,19
10,bumblebee-level-1,27
10,slitherlink-level-7,121
10,hybrid-cryptic-level,74
10,norinori-level,78
10,takoyaki-level,78
10,bumblebee-level-2,45
10,slitherlink-level-12,47
10,Doubles Games,1114
10,bumblebee-level-3,18
10,roma-level,48
10,bumblebee-level-6,5
10,slitherlink-level-2,119
10,bumblebee-level-4,138
10,bumblebee-level-5,30
10,choco-banana-level,235
10,bumblebee-level-8,20
10,ham-sandwich-level,71
10,bumblebee-level-9,23
10,fire-level,9
10,fly-level,20
10,lollipops-level,11
10,milk-tea-level,50
10,coffee-milk-level,40
10,wordplay-cryptic-level,72
10,firefly-level,433
10,tomato-soup-level,7
100,Crossword,809
100,Mystery,531
100,Aromatic Stock,382
100,Trivia,596
100,Worthwhile Suit,554
100,The Tortured Programmers Department,290
100,Doubles Games,1644
100,slitherlink-level-1,132
100,slitherlink-level-5,31
100,slitherlink-level-7,80
100,slitherlink-level-6,72
100,wordplay-cryptic-level,78
100,slitherlink-level-10,91
100,devilry-cryptic-level,75
100,slitherlink-level-9,6
100,slitherlink-level-3,17
100,slitherlink-level-8,62
100,slitherlink-level-11,6
100,slitherlink-level-4,16
100,slitherlink-level-12,47
100,choco-banana-level,154
100,slitherlink-level-2,51
100,bumblebee-level-0,26
100,bumblebee-level-1,98
100,takoyaki-level,209
100,lollipops-level,87
100,norinori-level,29
100,coffee-milk-level,41
100,ham-sandwich-level,66
100,bumblebee-level-3,26
100,hybrid-cryptic-level,65
100,roma-level,37
100,milk-tea-level,35
100,fire-level,11
100,fly-level,15
100,firefly-level,631
100,bumblebee-level-2,154
100,bumblebee-level-4,37
100,bumblebee-level-7,28
100,bumblebee-level-8,14
100,bumblebee-level-6,5
100,bumblebee-level-5,18
100,bumblebee-level-9,9
100,tomato-soup-level,13
12,Crossword,782
12,Mystery,388
12,Aromatic Stock,467
12,Trivia,421
12,slitherlink-level-5,73
12,The Tortured Programmers Department,339
12,Worthwhile Suit,225
12,slitherlink-level-1,111
12,slitherlink-level-7,79
12,Doubles Games,370
12,slitherlink-level-4,20
12,slitherlink-level-3,8
12,wordplay-cryptic-level,80
12,slitherlink-level-9,6
12,slitherlink-level-8,46
12,choco-banana-level,52
12,takoyaki-level,62
12,slitherlink-level-10,88
12,ham-sandwich-level,63
12,slitherlink-level-11,6
12,slitherlink-level-12,49
12,coffee-milk-level,39
12,slitherlink-level-2,58
12,hybrid-cryptic-level,79
12,milk-tea-level,46
12,lollipops-level,16
12,norinori-level,29
12,roma-level,37
12,bumblebee-level-3,61
12,bumblebee-level-2,70
12,slitherlink-level-6,75
12,devilry-cryptic-level,86
12,bumblebee-level-0,60
12,bumblebee-level-1,20
12,fire-level,19
12,fly-level,14
12,firefly-level,2
135,Crossword,958
135,Mystery,460
135,Aromatic Stock,507
135,Trivia,552
135,slitherlink-level-1,91
135,slitherlink-level-5,35
135,slitherlink-level-3,20
135,slitherlink-level-9,15
135,slitherlink-level-4,20
135,The Tortured Programmers Department,250
135,Worthwhile Suit,307
135,slitherlink-level-6,92
135,slitherlink-level-8,54
135,choco-banana-level,43
135,lollipops-level,10
135,ham-sandwich-level,65
135,takoyaki-level,92
135,norinori-level,42
135,slitherlink-level-7,77
135,slitherlink-level-10,88
135,slitherlink-level-2,50
135,slitherlink-level-11,6
135,slitherlink-level-12,46
135,devilry-cryptic-level,206
135,Doubles Games,609
135,hybrid-cryptic-level,86
135,wordplay-cryptic-level,34
135,coffee-milk-level,110
135,milk-tea-level,45
135,roma-level,62
135,fly-level,27
135,fire-level,11
135,bumblebee-level-0,64
14,Crossword,811
14,Trivia,522
14,Mystery,505
14,Aromatic Stock,340
14,Worthwhile Suit,532
14,The Tortured Programmers Department,243
14,slitherlink-level-1,113
14,slitherlink-level-5,78
14,slitherlink-level-6,99
14,slitherlink-level-7,98
14,slitherlink-level-10,84
14,slitherlink-level-11,6
14,slitherlink-level-9,6
14,hybrid-cryptic-level,77
14,slitherlink-level-12,52
14,Doubles Games,926
14,slitherlink-level-8,48
14,slitherlink-level-3,9
14,slitherlink-level-4,16
14,choco-banana-level,35
14,takoyaki-level,59
14,lollipops-level,26
14,norinori-level,33
14,milk-tea-level,35
14,coffee-milk-level,39
14,roma-level,39
14,ham-sandwich-level,63
14,slitherlink-level-2,47
14,bumblebee-level-1,11
14,bumblebee-level-3,16
14,bumblebee-level-2,22
14,bumblebee-level-0,103
14,bumblebee-level-6,9
14,wordplay-cryptic-level,74
14,bumblebee-level-5,29
14,bumblebee-level-4,50
14,bumblebee-level-8,23
14,bumblebee-level-9,23
14,bumblebee-level-7,63
14,fire-level,16
14,fly-level,24
14,firefly-level,639
14,devilry-cryptic-level,65
18,Crossword,753
18,Trivia,527
18,Mystery,650
18,Aromatic Stock,522
18,Worthwhile Suit,487
18,The Tortured Programmers Department,366
18,slitherlink-level-1,105
18,slitherlink-level-5,67
18,slitherlink-level-6,102
18,slitherlink-level-7,130
18,Doubles Games,58
18,slitherlink-level-9,17
18,slitherlink-level-3,8
18,slitherlink-level-4,18
18,slitherlink-level-8,47
18,slitherlink-level-10,92
18,takoyaki-level,80
18,choco-banana-level,51
18,slitherlink-level-11,7
18,slitherlink-level-12,46
18,ham-sandwich-level,64
18,wordplay-cryptic-level,149
18,norinori-level,64
18,lollipops-level,44
18,coffee-milk-level,46
18,slitherlink-level-2,46
18,milk-tea-level,35
18,roma-level,51
18,devilry-cryptic-level,88
18,bumblebee-level-2,94
18,bumblebee-level-1,74
18,bumblebee-level-3,30
18,hybrid-cryptic-level,66
18,bumblebee-level-0,26
18,bumblebee-level-6,8
18,bumblebee-level-5,29
18,bumblebee-level-7,82
18,bumblebee-level-9,1
19,Crossword,466
19,Mystery,102
22,Crossword,845
22,Mystery,575
22,Trivia,430
22,Aromatic Stock,453
22,The Tortured Programmers Department,94
22,Worthwhile Suit,714
22,Doubles Games,2728
22,ham-sandwich-level,71
22,slitherlink-level-1,89
22,takoyaki-level,64
22,slitherlink-level-5,25
22,slitherlink-level-9,6
22,bumblebee-level-0,107
22,slitherlink-level-3,8
22,choco-banana-level,35
22,slitherlink-level-4,26
22,slitherlink-level-2,46
22,coffee-milk-level,43
22,slitherlink-level-7,101
22,slitherlink-level-8,46
22,milk-tea-level,45
22,slitherlink-level-10,89
22,lollipops-level,23
22,norinori-level,43
22,slitherlink-level-11,8
22,devilry-cryptic-level,77
22,hybrid-cryptic-level,73
22,slitherlink-level-12,46
22,slitherlink-level-6,76
22,roma-level,7
22,bumblebee-level-1,266
22,bumblebee-level-3,10
22,wordplay-cryptic-level,125
22,bumblebee-level-2,35
22,bumblebee-level-5,20
22,bumblebee-level-6,10
22,bumblebee-level-4,85
22,bumblebee-level-7,115
22,bumblebee-level-8,30
22,bumblebee-level-9,26
22,fire-level,23
22,fly-level,14
22,firefly-level,673
22,tomato-soup-level,9
23,Crossword,922
23,Trivia,691
23,Aromatic Stock,484
23,Mystery,361
23,Worthwhile Suit,146
23,slitherlink-level-5,56
23,slitherlink-level-1,97
23,slitherlink-level-6,75
23,slitherlink-level-7,79
23,slitherlink-level-3,8
23,slitherlink-level-9,6
23,slitherlink-level-10,86
23,slitherlink-level-11,6
23,slitherlink-level-8,46
23,choco-banana-level,100
23,slitherlink-level-4,17
23,slitherlink-level-12,46
23,slitherlink-level-2,43
23,The Tortured Programmers Department,307
